ticker,company_name,sector,industry,market_cap,index_memberships,aliases
500325.BO,Reliance Industries Ltd,Energy,Oil & Gas Exploration & Production,Large Cap,"BSE Sensex, BSE 100, BSE 200","RELIANCE, RELIANCE.BO, RELIANCE.NS"
532540.BO,Tata Consultancy Services Ltd,Information Technology,IT Services & Consulting,Large Cap,"BSE Sensex, BSE 100, BSE 200","TCS, TCS.BO, TCS.NS"
500180.BO,HDFC Bank Ltd,Financials,Private Banks,Large Cap,"BSE Sensex, BSE 100, BSE 200","HDFCBANK, HDFCBANK.BO, HDFCBANK.NS"
532174.BO,ICICI Bank Ltd,Financials,Private Banks,Large Cap,"BSE Sensex, BSE 100, BSE 200","ICICIBANK, ICICIBANK.BO, ICICIBANK.NS"
500209.BO,Infosys Ltd,Information Technology,IT Services & Consulting,Large Cap,"BSE Sensex, BSE 100, BSE 200","INFY, INFY.BO, INFY.NS"
500112.BO,State Bank of India,Financials,Public Banks,Large Cap,"BSE Sensex, BSE 100, BSE 200","SBIN, SBIN.BO, SBIN.NS"
532454.BO,Bharti Airtel Ltd,Communication Services,Telecom Services,Large Cap,"BSE Sensex, BSE 100, BSE 200","BHARTIARTL, BHARTIARTL.BO, BHARTIARTL.NS"
500875.BO,ITC Ltd,Consumer Staples,Tobacco & FMCG,Large Cap,"BSE Sensex, BSE 100, BSE 200","ITC, ITC.BO, ITC.NS"
500510.BO,Larsen & Toubro Ltd,Industrials,Construction & Engineering,Large Cap,"BSE Sensex, BSE 100, BSE 200","LT, LT.BO, LT.NS"
500696.BO,Hindustan Unilever Ltd,Consumer Staples,Personal & Home Care,Large Cap,"BSE Sensex, BSE 100, BSE 200","HINDUNILVR, HINDUNILVR.BO, HINDUNILVR.NS"
500034.BO,Bajaj Finance Ltd,Financials,Consumer Finance,Large Cap,"BSE Sensex, BSE 100, BSE 200","BAJFINANCE, BAJFINANCE.BO, BAJFINANCE.NS"
500247.BO,Kotak Mahindra Bank Ltd,Financials,Private Banks,Large Cap,"BSE Sensex, BSE 100, BSE 200","KOTAKBANK, KOTAKBANK.BO, KOTAKBANK.NS"
532215.BO,Axis Bank Ltd,Financials,Private Banks,Large Cap,"BSE Sensex, BSE 100, BSE 200","AXISBANK, AXISBANK.BO, AXISBANK.NS"
500570.BO,Tata Motors Ltd,Consumer Discretionary,Automobiles,Large Cap,"BSE Sensex, BSE 100, BSE 200","TATAMOTORS, TATAMOTORS.BO, TATAMOTORS.NS"
524715.BO,Sun Pharmaceutical Industries Ltd,Health Care,Pharmaceuticals,Large Cap,"BSE Sensex, BSE 100, BSE 200","SUNPHARMA, SUNPHARMA.BO, SUNPHARMA.NS"
500520.BO,Mahindra & Mahindra Ltd,Consumer Discretionary,Automobiles,Large Cap,"BSE Sensex, BSE 100, BSE 200","M&M, M&M.BO, M&M.NS"
532500.BO,Maruti Suzuki India Ltd,Consumer Discretionary,Automobiles,Large Cap,"BSE Sensex, BSE 100, BSE 200","MARUTI, MARUTI.BO, MARUTI.NS"
532281.BO,HCL Technologies Ltd,Information Technology,IT Services & Consulting,Large Cap,"BSE Sensex, BSE 100, BSE 200","HCLTECH, HCLTECH.BO, HCLTECH.NS"
500820.BO,Asian Paints Ltd,Materials,Paints & Coatings,Large Cap,"BSE Sensex, BSE 100, BSE 200","ASIANPAINT, ASIANPAINT.BO, ASIANPAINT.NS"
507685.BO,Wipro Ltd,Information Technology,IT Services & Consulting,Large Cap,"BSE Sensex, BSE 100, BSE 200","WIPRO, WIPRO.BO, WIPRO.NS"
